doc_id,filing_datetime,doc_type_name,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100XC8R,2026-01-15 09:03:00,Securities Report,カレラアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,554781426000000.0,554781426000000,,,,,,,,
S100X58K,2026-01-15 09:03:00,Securities Report,ＵＢＳアセット・マネジメント株式会社,UBS Asset Management (Japan) Ltd.,,2025-10-15,Japan GAAP,,482200478.0,482200478,,,,,,,,
S100X7JQ,2026-01-15 09:04:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,2277018.0,2277018,,,,,,,,
S100XEG1,2026-01-15 09:04:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-15,Japan GAAP,,252611852.0,252611852,,,,,,,,
S100XC8J,2026-01-15 09:05:00,Securities Report,カレラアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,441955933000000.0,441955933000000,,,,,,,,
S100X58M,2026-01-15 09:05:00,Securities Report,ＵＢＳアセット・マネジメント株式会社,UBS Asset Management (Japan) Ltd.,,2025-10-15,Japan GAAP,,323491787.0,323491787,,,,,,,,
S100XCV1,2026-01-15 09:05:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-22,Japan GAAP,,-290827640.0,-290827640,,,,,,,,
S100XDTR,2026-01-15 09:06:00,Securities Report,農林中金全共連アセットマネジメント株式会社,Norinchukin Zenkyoren Asset Management Co.,1595.T,2025-10-15,Japan GAAP,,28645265465.0,28645265465,,,,,,,,
S100X8JF,2026-01-15 09:06:00,Securities Report,スパークス・アセット・マネジメント株式会社,,,2025-10-15,Japan GAAP,,-45944238.0,-45944238,,,,,,,,
S100XC46,2026-01-15 09:06:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,2056266.0,2056266,,,,,,,,
S100XDRP,2026-01-15 09:07:00,Securities Report,ＳＢＩアセットマネジメント株式会社,SBI Asset Management Co.,,2025-10-15,Japan GAAP,,423526883.0,423526883,,,,,,,,
S100X976,2026-01-15 09:08:00,Securities Report,スパークス・アセット・マネジメント株式会社,,,2025-10-15,Japan GAAP,,-16288941.0,-16288941,,,,,,,,
S100XEDI,2026-01-15 09:08:00,Securities Report,アセットマネジメントＯｎｅ株式会社,,,2025-10-15,Japan GAAP,,11643528.0,11643528,,,,,,,,
S100X52M,2026-01-15 09:08:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-20,Japan GAAP,,9391647.0,9391647,,,,,,,,
S100XCEV,2026-01-15 09:09:00,Securities Report,インベスコ・アセット・マネジメント株式会社,INVESCO ASSET MANAGEMENT CO.,,2025-10-20,Japan GAAP,,7001340.0,7001340,,,,,,,,
S100X7AM,2026-01-15 09:10:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-21,Japan GAAP,,1261423237.0,1261423237,,,,,,,,
S100XDO0,2026-01-15 09:10:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-22,Japan GAAP,,1119707.0,1119707,,,,,,,,
S100X2L4,2026-01-15 09:13:00,Securities Report,楽天投信投資顧問株式会社,,,2025-10-15,Japan GAAP,,10410023392.0,10410023392,,,,,,,,
S100XBOY,2026-01-15 09:13:00,Securities Report,農林中金全共連アセットマネジメント株式会社,Norinchukin Zenkyoren Asset Management Co.,2086.T,2025-10-15,Japan GAAP,,2409299398.0,2409299398,,,,,,,,
